Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
20,Grand Theft Auto V,Action,M,PS3,Rockstar Games,Rockstar North,9.4,20.32,6.37,9.85,0.99,3.12,2013.0
21,Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North,9.7,19.39,6.06,9.71,0.6,3.02,2014.0
31,Grand Theft Auto: Vice City,Action,M,PS2,Rockstar Games,Rockstar North,9.6,16.15,8.41,5.49,0.47,1.78,2002.0
41,Call of Duty: Modern Warfare 3,Shooter,M,X360,Activision,Infinity Ward,8.7,14.82,9.07,4.29,0.13,1.33,2011.0
42,Call of Duty: Black Ops,Shooter,M,X360,Activision,Treyarch,8.8,14.74,9.76,3.73,0.11,1.14,2010.0
46,Red Dead Redemption 2,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,9.8,13.94,5.26,6.21,0.21,2.26,2018.0
50,Call of Duty: Modern Warfare 2,Shooter,M,X360,Activision,Infinity Ward,9.5,13.53,8.54,3.63,0.08,1.28,2009.0
51,Call of Duty: WWII,Shooter,M,PS4,Activision,Sledgehammer Games,8.0,13.4,4.67,6.21,0.4,2.12,2017.0
52,Call of Duty: Modern Warfare 3,Shooter,M,PS3,Activision,Infinity Ward,8.8,13.35,5.54,5.78,0.49,1.54,2011.0
54,Grand Theft Auto III,Action,M,PS2,Rockstar Games,DMA Design,9.5,13.1,6.99,4.51,0.3,1.3,2001.0
60,Call of Duty: Black Ops,Shooter,M,PS3,Activision,Treyarch,8.7,12.67,6.01,4.4,0.48,1.78,2010.0
69,FIFA 18,Sports,E,PS4,EA Sports,EA Vancouver,8.3,11.8,1.27,8.64,0.15,1.73,2017.0
74,Grand Theft Auto IV,Action,M,X360,Rockstar Games,Rockstar North,10.0,11.09,6.8,3.11,0.14,1.04,2008.0
77,FIFA 17,Sports,E,PS4,Electronic Arts,EA Canada,8.9,10.94,1.26,7.95,0.12,1.61,2016.0
79,Call of Duty: Modern Warfare 2,Shooter,M,PS3,Activision,Infinity Ward,9.5,10.61,4.99,3.66,0.38,1.59,2009.0
80,Grand Theft Auto IV,Action,M,PS3,Rockstar Games,Rockstar North,10.0,10.57,4.79,3.73,0.44,1.62,2008.0
82,Call of Duty: Ghosts,Shooter,M,X360,Activision,Infinity Ward,6.9,10.41,6.76,2.64,0.04,0.98,2013.0
84,Call of Duty: Ghosts,Shooter,M,PS3,Activision,Infinity Ward,7.5,10.13,4.11,4.01,0.39,1.62,2013.0
88,Halo: Reach,Shooter,M,X360,Microsoft Game Studios,Bungie,9.3,9.97,7.08,2.01,0.08,0.8,2010.0
95,Call of Duty 4: Modern Warfare,Shooter,M,X360,Activision,Infinity Ward,9.6,9.41,5.98,2.39,0.13,0.91,2007.0
105,The Elder Scrolls V: Skyrim,Role-Playing,M,X360,Bethesda Softworks,Bethesda Game Studios,9.3,8.88,5.1,2.83,0.1,0.85,2011.0
108,Grand Theft Auto V,Action,M,XOne,Rockstar Games,Rockstar North,9.0,8.72,4.7,3.25,0.01,0.76,2014.0
114,Fallout 4,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,8.48,2.91,3.97,0.27,1.34,2015.0
119,FIFA 16,Sports,E,PS4,EA Sports,EA Canada,8.5,8.22,1.15,5.77,0.07,1.23,2015.0
121,Star Wars Battlefront (2015),Shooter,T,PS4,Electronic Arts,EA DICE,7.1,8.03,3.31,3.19,0.23,1.3,2015.0
125,Grand Theft Auto: Liberty City Stories,Action,M,PSP,Rockstar Games,Rockstar Leeds,8.8,7.72,2.9,2.83,0.24,1.74,2005.0
129,Crash Bandicoot 2: Cortex Strikes Back,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,8.6,7.58,3.78,2.17,1.31,0.31,1997.0
130,Call of Duty: Advanced Warfare,Shooter,M,PS4,Activision,Sledgehammer Games,8.5,7.53,2.84,3.34,0.14,1.22,2014.0
136,Battlefield 3,Shooter,M,X360,Electronic Arts,Dice,8.5,7.35,4.47,2.12,0.06,0.69,2011.0
139,Battlefield 3,Shooter,M,PS3,Electronic Arts,Dice,8.5,7.21,2.86,2.94,0.35,1.07,2011.0
140,Need for Speed Underground,Racing,E,PS2,Electronic Arts,EA Black Box,8.6,7.2,3.27,2.83,0.08,1.02,2003.0
142,Crash Bandicoot 3: Warped,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,9.3,7.13,3.68,1.75,1.42,0.28,1998.0
145,Need for Speed Underground 2,Racing,E,PS2,Electronic Arts,EA Black Box,8.3,6.9,2.71,3.02,0.08,1.09,2004.0
148,Uncharted 3: Drake's Deception,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,9.3,6.84,2.77,2.81,0.19,1.06,2011.0
149,Medal of Honor: Frontline,Shooter,T,PS2,Electronic Arts,EA Los Angeles,9.0,6.83,2.93,2.75,0.17,0.99,2002.0
152,Uncharted 2: Among Thieves,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,9.5,6.74,3.28,2.22,0.21,1.02,2009.0
153,Call of Duty 4: Modern Warfare,Shooter,M,PS3,Activision,Infinity Ward,9.5,6.72,3.13,2.27,0.28,1.04,2007.0
154,FIFA Soccer 12,Sports,E,PS3,EA Sports,EA Canada,9.2,6.65,0.84,4.33,0.11,1.37,2011.0
156,Red Dead Redemption,Action,M,PS3,Rockstar Games,Rockstar San Diego,9.5,6.57,2.82,2.58,0.17,1.0,2011.0
159,Assassin's Creed III,Action-Adventure,M,PS3,Ubisoft,Ubisoft Montreal,8.8,6.5,2.65,2.61,0.16,1.08,2012.0
161,Red Dead Redemption,Action,M,X360,Rockstar Games,Rockstar San Diego,9.5,6.5,3.77,2.03,0.09,0.6,2010.0
162,The Elder Scrolls V: Skyrim,Role-Playing,M,PS3,Bethesda Softworks,Bethesda Game Studios,9.0,6.49,2.57,2.68,0.25,0.99,2011.0
166,Halo 3: ODST,Shooter,M,X360,Microsoft Game Studios,Bungie,8.7,6.35,4.34,1.34,0.06,0.61,2009.0
167,Minecraft,Misc,E10,PS4,Sony Computer Entertainment,Mojang,9.4,6.33,1.89,3.13,0.35,0.96,2014.0
168,FIFA 15,Sports,E,PS4,EA Sports,EA Canada,8.1,6.32,0.83,4.49,0.05,0.94,2014.0
171,The Last of Us,Action-Adventure,M,PS3,Sony Computer Entertainment America,Naughty Dog,9.5,6.27,2.41,2.57,0.29,0.99,2013.0
172,Driver,Action,T,PS,GT Interactive,Reflections Interactive,8.5,6.27,3.11,2.8,0.02,0.33,1999.0
174,God of War (2018),Action,M,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,9.7,6.15,2.83,2.17,0.13,1.02,2018.0
177,Metal Gear Solid 2: Sons of Liberty,Action,M,PS2,Konami,Konami Computer Entertainment Japan,9.5,6.05,2.45,2.01,0.87,0.72,2001.0
181,Metal Gear Solid 4: Guns of the Patriots,Action,M,PS3,Konami,Kojima Productions,9.3,6.0,2.63,1.72,0.83,0.81,2008.0
185,LittleBigPlanet,Platform,E,PS3,Sony Computer Entertainment,Media Molecule,9.4,5.85,2.8,2.01,0.17,0.87,2008.0
193,Tekken 2,Fighting,T,PS,Namco,Namco,9.1,5.74,2.26,1.89,1.36,0.23,1996.0
197,Cooking Mama,Simulation,E,DS,Majesco,Office Create,6.6,5.66,3.09,1.92,0.07,0.58,2006.0
201,Assassin's Creed II,Action,M,PS3,Ubisoft,Ubisoft Montreal,9.0,5.57,2.54,1.95,0.21,0.86,2009.0
203,Assassin's Creed,Action,M,X360,Ubisoft,Ubisoft Montreal,8.2,5.55,3.28,1.64,0.07,0.56,2007.0
204,Batman: Arkham City,Action,T,PS3,Warner Bros. Interactive,Rocksteady Studios,9.6,5.54,2.72,1.89,0.11,0.82,2011.0
205,Forza Motorsport 3,Racing,E,X360,Microsoft Game Studios,Turn 10 Studios,9.2,5.5,2.99,1.9,0.1,0.51,2009.0
215,Crash Bandicoot: The Wrath of Cortex,Platform,E,PS2,Universal Interactive,Traveller's Tales,6.9,5.42,2.07,2.29,0.24,0.82,2001.0
217,Final Fantasy XIII,Role-Playing,T,PS3,Square Enix,Square Enix,8.0,5.35,1.75,1.23,1.87,0.51,2010.0
223,Assassin's Creed II,Action,M,X360,Ubisoft,Ubisoft Montreal,9.1,5.3,3.14,1.55,0.08,0.52,2009.0
228,Tomb Raider II,Adventure,T,PS,Eidos Interactive,Core Design Ltd.,7.6,5.24,2.3,2.46,0.2,0.28,1997.0
229,Madden NFL 2004,Sports,E,PS2,EA Sports,EA Tiburon,9.5,5.23,4.26,0.26,0.01,0.71,2003.0
230,Call of Duty: Advanced Warfare,Shooter,M,XOne,Activision,Sledgehammer Games,8.3,5.22,3.25,1.49,0.01,0.48,2014.0
238,Medal of Honor: Rising Sun,Shooter,T,PS2,Electronic Arts,EA Los Angeles,5.9,5.13,1.98,2.23,0.13,0.8,2003.0
244,Resident Evil 5,Action,M,PS3,Capcom,Capcom,8.6,5.1,1.96,1.42,1.08,0.64,2009.0
245,Fable III,Role-Playing,M,X360,Microsoft Game Studios,Lionhead Studios,7.8,5.1,3.59,1.09,0.05,0.37,2010.0
246,Mario & Sonic at the Olympic Games,Sports,E,DS,Sega,Sega,7.0,5.1,1.63,2.46,0.44,0.57,2008.0
247,Grand Theft Auto: Vice City Stories,Action,M,PSP,Rockstar Games,Rockstar Leeds,8.4,5.08,1.7,2.03,0.16,1.19,2006.0
248,FIFA Soccer 11,Sports,E,PS3,EA Sports,EA Canada,8.7,5.08,0.61,3.28,0.06,1.12,2010.0
250,Final Fantasy XV,Role-Playing,T,PS4,Square Enix,Square Enix,8.1,5.07,1.81,1.53,1.05,0.68,2016.0
251,Fallout 4,Role-Playing,M,XOne,Bethesda Softworks,Bethesda Game Studios,8.4,5.03,2.94,1.62,0.02,0.45,2015.0
252,Tony Hawk's Pro Skater,Sports,T,PS,Activision,Neversoft Entertainment,9.6,5.02,3.42,1.38,0.02,0.2,1999.0
254,Spyro the Dragon,Platform,E,PS,Sony Computer Entertainment,Insomniac Games,8.7,5.0,3.36,1.36,0.07,0.21,1998.0
261,Guitar Hero III: Legends of Rock,Misc,T,PS2,RedOctane,BudCat Creations,8.2,4.98,3.49,0.01,0.01,1.48,2007.0
262,Uncharted: Drake's Fortune,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,8.7,4.97,2.32,1.73,0.12,0.8,2007.0
264,Fallout 3,Role-Playing,M,X360,Bethesda Softworks,Bethesda Game Studios,9.0,4.96,3.41,0.99,0.09,0.46,2008.0
266,Madden NFL 06,Sports,E,PS2,EA Sports,EA Tiburon,9.1,4.91,3.98,0.26,0.01,0.66,2005.0
275,Assassin's Creed,Action,M,PS3,Ubisoft,Ubisoft Montreal,8.2,4.83,1.91,2.01,0.09,0.82,2007.0
277,Crash Team Racing,Racing,E,PS,Sony Computer Entertainment,Naughty Dog,9.2,4.79,2.57,1.57,0.44,0.21,1999.0
280,Batman: Arkham City,Action,T,X360,Warner Bros. Interactive,Rocksteady Studios,9.5,4.75,2.99,1.28,0.04,0.44,2011.0
281,Driver 2,Action,T,PS,Atari,Reflections Interactive,7.0,4.73,2.36,2.1,0.02,0.25,2000.0
284,Tony Hawk's Pro Skater 2,Sports,T,PS,Activision,Neversoft Entertainment,9.3,4.68,3.05,1.41,0.02,0.2,2000.0
285,Monster Hunter: World,Action,T,PS4,Capcom,Capcom,9.3,4.67,1.03,1.06,2.17,0.42,2018.0
287,The Lord of the Rings: The Two Towers,Action,T,PS2,Electronic Arts,Stormfront Studios,8.3,4.67,1.94,1.95,0.08,0.7,2002.0
288,Tomb Raider,Action,T,PS,Eidos Interactive,Core Design Ltd.,8.9,4.63,2.29,1.97,0.13,0.24,1996.0
291,Forza Motorsport 4,Racing,E,X360,Microsoft Studios,Turn 10 Studio,9.1,4.6,2.08,1.98,0.06,0.49,2011.0
292,Guitar Hero III: Legends of Rock,Misc,T,Wii,RedOctane,Vicarious Visions,8.6,4.6,3.04,1.12,0.0,0.44,2007.0
293,"Pokemon: Let's Go, Pikachu!",Role-Playing,E,NS,Nintendo,Game Freak,8.3,4.57,2.16,1.24,0.82,0.34,2018.0
296,FIFA 15,Sports,E,PS3,EA Sports,EA Canada,6.9,4.56,0.59,3.25,0.04,0.68,2014.0
297,Mario & Sonic at the Olympic Winter Games,Sports,E,Wii,Sega,Sega,6.8,4.54,1.87,1.97,0.22,0.48,2009.0
298,Overwatch,Shooter,T,PS4,Blizzard Entertainment,Blizzard Entertainment,8.8,4.54,1.84,1.8,0.17,0.73,2016.0
299,Madden NFL 2005,Sports,E,PS2,EA Sports,EA Tiburon,9.5,4.53,4.18,0.26,0.01,0.08,2004.0
300,Guitar Hero III: Legends of Rock,Misc,T,X360,RedOctane,Neversoft,8.7,4.53,3.19,0.91,0.01,0.42,2007.0
310,Madden NFL 07,Sports,E,PS2,EA Sports,EA Tiburon,8.5,4.49,3.63,0.24,0.01,0.61,2006.0
311,Spider-Man: The Movie,Action,E,PS2,Activision,Treyarch,8.2,4.48,2.71,1.51,0.03,0.23,2002.0
313,The Elder Scrolls IV: Oblivion,Role-Playing,M,X360,Take-Two Interactive,Bethesda Softworks,9.2,4.47,2.89,1.03,0.13,0.41,2009.0
315,Tony Hawk's Pro Skater 3,Sports,T,PS2,Activision,Neversoft Entertainment,9.1,4.41,2.66,1.29,0.01,0.46,2001.0
316,Winning Eleven: Pro Evolution Soccer 2007,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,8.8,4.39,0.1,2.39,1.05,0.86,2007.0
318,Michael Jackson: The Experience,Misc,E10,Wii,Ubisoft,Ubisoft Montpellier,5.6,4.37,2.64,1.33,0.01,0.39,2010.0
320,Need for Speed: Most Wanted,Racing,T,PS2,Electronic Arts,EA Canada,8.6,4.37,2.03,1.79,0.08,0.47,2005.0
321,Resistance: Fall of Man,Shooter,M,PS3,Sony Computer Entertainment,Insomniac Games,8.5,4.37,1.74,1.72,0.14,0.76,2006.0
323,Call of Duty: Advanced Warfare,Shooter,M,X360,Activision,High Moon Studios,9.1,4.34,2.81,1.13,0.0,0.41,2014.0
330,Batman: Arkham Asylum,Action,T,PS3,Eidos Interactive,Rocksteady Studios,9.0,4.28,2.26,1.33,0.07,0.63,2009.0
331,Call of Duty: Advanced Warfare,Shooter,M,PS3,Activision,High Moon Studios,9.1,4.27,1.59,1.81,0.2,0.67,2014.0
336,Assassin's Creed: Revelations,Action,M,PS3,Ubisoft,Ubisoft Montreal,8.8,4.23,1.41,2.03,0.1,0.69,2011.0
337,Metal Gear Solid 3: Snake Eater,Action,M,PS2,Konami,KCEJ / Kojima Productions,9.0,4.23,1.46,0.0,0.83,1.93,2004.0
338,Assassin's Creed: Revelations,Action,M,X360,Ubisoft,Ubisoft Montreal,7.9,4.22,2.28,1.47,0.04,0.44,2011.0
339,FIFA Soccer 06,Sports,E,PS2,EA Sports,EA Canada,8.4,4.21,0.78,2.55,0.04,0.84,2005.0
341,Street Fighter IV,Fighting,T,PS3,Capcom,Capcom / Dimps Corporation,9.3,4.19,2.04,1.05,0.59,0.52,2009.0
343,FIFA Soccer 12,Sports,E,X360,EA Sports,EA Canada,9.2,4.18,0.85,2.79,0.02,0.52,2011.0
344,Call of Duty: Ghosts,Shooter,M,PS4,Activision,Infinity Ward,7.5,4.17,1.79,1.64,0.05,0.69,2013.0
349,Star Wars Battlefront (2015),Shooter,T,XOne,Electronic Arts,EA DICE,6.9,4.15,2.49,1.26,0.02,0.38,2015.0
351,Madden NFL 2003,Sports,E,PS2,EA Sports,EA Tiburon,9.4,4.14,3.36,0.21,0.01,0.56,2002.0
356,Batman: Arkham Knight,Action,M,PS4,Warner Bros. Interactive,Rocksteady Studios,8.1,4.11,1.65,1.68,0.11,0.66,2015.0
357,FIFA 07 Soccer,Sports,E,PS2,EA Sports,Team Fusion,8.4,4.11,0.71,2.48,0.03,0.89,2006.0
361,Fallout: New Vegas,Role-Playing,M,X360,Bethesda Softworks,Obsidian Entertainment,8.2,4.08,2.67,1.03,0.04,0.34,2010.0
363,Far Cry 4,Shooter,M,PS4,Ubisoft,Ubisoft Montreal,8.4,4.06,1.18,2.14,0.11,0.63,2014.0
364,Carnival Games,Misc,E,Wii,Global Star Software,Cat Daddy Games,4.2,4.06,2.12,1.47,0.05,0.42,2007.0
365,World Soccer Winning Eleven 9,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,8.9,4.06,0.12,2.26,0.9,0.77,2006.0
366,Forza Motorsport 2,Racing,E,X360,Microsoft Game Studios,Turn 10 Studios,9.1,4.05,2.35,1.27,0.03,0.41,2007.0
368,Tekken Tag Tournament,Fighting,T,PS2,Namco,Namco,8.7,4.05,1.68,1.51,0.51,0.35,2000.0
377,Fallout 3,Role-Playing,M,PS3,Bethesda Softworks,Bethesda Game Studios,8.8,4.0,2.18,1.15,0.07,0.61,2008.0
381,NBA 2K16,Sports,E10,PS4,2K Sports,Visual Concepts,8.7,3.98,2.56,0.66,0.05,0.71,2015.0
382,Left 4 Dead 2,Shooter,M,X360,Electronic Arts,Certain Affinity / Valve Software,9.0,3.97,2.67,0.88,0.05,0.38,2009.0
383,Far Cry 5,Action,M,PS4,Ubisoft,Ubisoft,7.9,3.95,1.44,1.73,0.15,0.62,2018.0
384,Battlefield 4,Shooter,M,PS4,Electronic Arts,EA DICE,8.3,3.94,1.4,1.74,0.19,0.62,2013.0
385,Assassin's Creed IV: Black Flag,Action-Adventure,M,PS3,Ubisoft,Ubisoft Montreal,8.7,3.94,1.34,1.86,0.13,0.62,2013.0
386,EA Sports Active,Sports,E,Wii,EA Sports,EA Vancouver,8.3,3.93,2.11,1.35,0.06,0.4,2009.0
391,Tony Hawk's Underground,Sports,T,PS2,Activision,Neversoft Entertainment,8.7,3.9,2.29,1.17,0.01,0.42,2003.0
394,Sports Champions,Sports,E10,PS3,Sony Computer Entertainment,SCE San Diego Studio,7.6,3.88,2.15,1.13,0.1,0.5,2010.0
395,MotorStorm,Racing,T,PS3,Sony Computer Entertainment,Evolution Studios,8.2,3.87,1.53,1.61,0.06,0.67,2007.0
396,World Soccer Winning Eleven 8 International,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,9.3,3.85,0.16,1.89,1.12,0.68,2005.0
405,Ratchet & Clank: Size Matters,Platform,E10,PSP,Sony Computer Entertainment,High Impact Games,8.5,3.75,1.4,1.4,0.1,0.86,2007.0
406,Harry Potter and the Sorcerer's Stone,Action,E,PS,Electronic Arts,Argonaut Games,8.0,3.73,1.37,2.0,0.14,0.22,2001.0
411,FIFA Soccer 2005,Sports,E,PS2,EA Sports,EA Canada,8.4,3.7,0.58,2.48,0.04,0.59,2004.0
414,Tony Hawk's Pro Skater 4,Sports,T,PS2,Activision,Neversoft Entertainment,9.6,3.67,2.13,1.18,0.01,0.35,2002.0
416,MySims,Simulation,E,DS,Electronic Arts,EA Redwood Shores,6.7,3.66,1.58,1.6,0.08,0.4,2007.0
418,SOCOM: U.S. Navy SEALs,Shooter,M,PS2,Sony Computer Entertainment,Zipper Interactive,8.0,3.65,2.53,0.81,0.06,0.24,2002.0
419,Battlefield 4,Shooter,M,PS3,Electronic Arts,EA DICE,8.7,3.64,1.31,1.5,0.27,0.55,2013.0
420,Jak and Daxter: The Precursor Legacy,Platform,E,PS2,Sony Computer Entertainment,Naughty Dog,9.0,3.64,2.08,1.09,0.15,0.33,2001.0
422,Pro Evolution Soccer 2008,Sports,E,PS2,Konami,Konami,8.2,3.63,0.05,0.0,0.64,2.93,2008.0
423,FIFA Soccer 10,Sports,E,PS3,EA Sports,EA Canada,9.0,3.63,0.6,2.46,0.05,0.52,2009.0
426,Star Wars Battlefront,Shooter,T,PS2,LucasArts,Pandemic Studios,8.1,3.61,1.93,1.22,0.03,0.44,2004.0
430,Assassin's Creed Syndicate,Action,M,PS4,Ubisoft,Ubisoft Quebec,8.6,3.6,0.9,2.06,0.08,0.55,2015.0
431,Star Wars Battlefront II,Shooter,T,PS2,LucasArts,Pandemic Studios,8.5,3.59,2.18,1.02,0.03,0.37,2005.0
433,Cooking Mama 2: Dinner With Friends,Simulation,E,DS,Majesco,Office Create,6.9,3.58,1.6,1.49,0.1,0.39,2007.0
